IID,salso,nTotal_pred
NDAR_INV583EKH0A,2,1.9744567867181875
NDAR_INV5890XJCZ,2,-45930.94121117569
NDAR_INV58GL6F39,1,0.05283687568313571
NDAR_INV59MJGL9R,1,-0.14038679824089453
NDAR_INV5BJZW7MU,2,41151.9456573465
NDAR_INV5CAAJ5TK,1,-27530.725593523628
NDAR_INV5CAVZWXG,5,-5582.578323928719
NDAR_INV5D1E6KMW,1,-15983.634613525548
NDAR_INV5E1VA5Z1,2,1.4866242211019736
NDAR_INV5FDXAA9F,5,-4.094075344307221
NDAR_INV5G2YX7EG,1,-2.8333986310778903
NDAR_INV5G3DP835,5,-2.0925991680275544
NDAR_INV5G5KBE3H,1,-169.43053688178017
NDAR_INV5LKTCB6L,5,-2.161350798966793
NDAR_INV5M9Y06N7,1,-2.02108386192865
NDAR_INV5MYF77YV,5,-2.163111787919278
NDAR_INV5N8A69PF,1,-533.4981458944382
NDAR_INV5NZW4ZBJ,1,-984.0710337578183
NDAR_INV5P2UAGPW,1,-6.018625330275813
NDAR_INV5PRF1M68,2,1.453518329218052
NDAR_INV5TJZTXMY,5,-1.7930431689358413
NDAR_INV5TT4VN2V,1,-5.322190927832488
NDAR_INV5U6LFRPZ,5,538.3977314702131
NDAR_INV5UE7EYK6,2,-0.8409041554905463
NDAR_INV5WBZDXME,1,11707.479817234094
NDAR_INV5XV8TY4W,1,32802.80222093124
NDAR_INV5XZZKLKM,2,-0.23676897381319806
NDAR_INV5YHWBYRD,1,-1.5985208087196714
NDAR_INV5YKVY4EN,2,-0.43742171529625057
NDAR_INV60X2U63K,5,-0.348083663001826
NDAR_INV61VV3W6U,5,1.0811666358301606
NDAR_INV61VX090A,1,-0.692818463598489
NDAR_INV61ZHGXE4,1,3916.811378320829
NDAR_INV62G4MJ4G,5,-1.9129892224493499
NDAR_INV62VXCMPT,5,1863.973955827439
NDAR_INV63JMZ9HT,1,-0.019216983328250566
NDAR_INV63MHPM68,2,-83446.02475886489
NDAR_INV66B2RLDF,1,1303.001384310941
NDAR_INV679MKUFP,2,-3165.4198751407503
NDAR_INV67CCUNV4,1,7318.084628764279
NDAR_INV67KWVPR7,1,2.2329234368826696
NDAR_INV67TUZJU7,2,1.3022918720749792
NDAR_INV68WXH24G,1,1.2176299315683319
NDAR_INV68ZA6HHA,1,0.49466927130123445
NDAR_INV69MBGCB3,2,-3.398992824572815
NDAR_INV6AC2J61C,3,-0.5484161080145998
NDAR_INV6C8NRRP1,1,-0.10015675525396216
NDAR_INV6CUNP3EL,2,64729.39319814603
NDAR_INV6DE6KC7V,5,-5.301262966501683
NDAR_INV6EJF2KCZ,1,601.3390528851593
NDAR_INV6G0MHGHA,2,-1.3666862086223026
NDAR_INV6G6L9NXY,1,2.1640960254104247
NDAR_INV6H7448TR,1,-8207.121417145674
NDAR_INV6JJBMHZL,5,-7936.268460130552
NDAR_INV6KDC9UJX,5,2086.675997113416
NDAR_INV6KRBKZYB,3,-0.8857563776739689
NDAR_INV6KW88EPW,2,1.133501689102545
NDAR_INV6N1XNYN7,1,-3.0393025558595252
NDAR_INV6N503HJZ,1,-0.269082565108456
NDAR_INV6NJ4UWH8,1,352.0876249641343
NDAR_INV6NYCB4Y6,5,-3.165960334805394
NDAR_INV6P3M2G8K,5,-2.267824269001629
NDAR_INV6PUUHUTG,5,5387.811099265614
NDAR_INV6T7K85JU,2,421.6089751387472
NDAR_INV6UPZCK82,2,41137.782393667214
NDAR_INV6UZL0D8M,5,341.03357929744874
NDAR_INV6VFFYA3R,3,-2.4314318326419913
NDAR_INV71LY516E,2,-41185.068098689866
NDAR_INV7203PRBW,2,-0.2537904402987539
NDAR_INV72JP5LKF,1,-1.5226905176488814
NDAR_INV72NE2AL6,2,0.9401133385021739
NDAR_INV73P1LVTY,1,1.9176357267677928
NDAR_INV73ZVLFTC,1,-1842.8580615032915
NDAR_INV74A66FHC,2,-2.4575495703823687
NDAR_INV76NR9YPR,5,-2.939270186303943
NDAR_INV76XDC3CZ,5,9578.489749314214
NDAR_INV77M916PU,5,-2.072602216572162
NDAR_INV77R50T8J,2,-2681.0595505933384
NDAR_INV784C061J,1,-0.071838729319071
NDAR_INV79KGLZX3,5,-0.5042520538536838
NDAR_INV7B2V2JHN,4,34.670670941313915
NDAR_INV7C262RWK,2,-1.291603846179878
NDAR_INV7CB47GY8,1,0.5481187829511162
NDAR_INV7CN47GEF,1,0.6857629648404155
NDAR_INV7DU2R3J4,1,-4134.159092277247
NDAR_INV7DUJG7N2,1,1.836008107925047
NDAR_INV7DY4B12E,2,-1.6899387852288368
NDAR_INV7GDD5D2D,2,-0.9090448827068748
NDAR_INV7GYDJXB0,5,-3.3930003230722456
NDAR_INV7H4272VU,5,-21972.719101797433
NDAR_INV7J8EL4J8,2,-3639.607017210747
NDAR_INV7JTB8FL3,5,-3.0632841412997234
NDAR_INV7KN1R7KK,1,-66771.81570607449
NDAR_INV7KTCPBRC,5,-1.2205087946894937
NDAR_INV7L2M29CY,2,-0.6075026576186815
NDAR_INV7LY97KWM,3,-107794.90476251485
NDAR_INV7NW5NH08,1,-2.958202424498878
NDAR_INV7U0R6TL7,1,1.7454926261196486
NDAR_INV7UWTN03J,5,-2.9608018889671373
NDAR_INV7V10F8LD,1,1.7360901010353316
NDAR_INV7WH96F72,1,0.9873997346696867
NDAR_INV7XMDVMD9,2,-0.19840452740969122
NDAR_INV802U9UW9,5,-4.8124785958848175
NDAR_INV804917DP,1,-3983.3100499062894
NDAR_INV81L2CWB2,1,0.22711171897045937
NDAR_INV81W1WMVM,1,-8776.560083768316
NDAR_INV83MAXVLU,1,-4.250170129893904
NDAR_INV83ZDBYTJ,1,-2067.267413102946
